,rab.all,rab.win.PA2.1,rab.win.PA2.3,diff.btw,diff.win,effect,overlap,we.ep,we.eBH,wi.ep,wi.eBH
ASV135_CAG.831.sp902388455.GB_GCA_902388455_1.,2.593644351,1.297107037,9.9333079,8.612129919,4.011568889,2.258824094,0.004800086,3.62E-97,1.38E-94,1.02E-36,3.87E-34
ASV249_Mucispirillum.schaedleri.RS_GCF_000487995_1.,-0.971254715,-1.879761953,7.767178247,9.460797169,4.371840076,1.967658263,0.05318937,4.97E-66,8.75E-64,5.08E-30,2.26E-28
ASV16_Cloacibacillus.porcorum.RS_GCF_001701045_1.,3.004050297,1.86602145,8.754380711,7.164324009,5.526908042,1.149471006,0.150800002,1.59E-53,1.52E-51,1.69E-18,1.85E-17
ASV132_Duodenibacillus.sp003472385.RS_GCF_003472385_1.,1.056641891,-0.174979858,5.725080569,5.853676421,4.950795953,0.984699302,0.191161769,1.10E-36,3.89E-35,1.46E-15,1.11E-14
ASV110_Mailhella.sp900553065.GB_GCA_900553065_1.,5.979072856,3.995750136,8.179874412,3.765252889,4.723789336,0.697226678,0.223000001,2.02E-35,7.72E-34,1.09E-12,6.28E-12
ASV4_Phocaeicola.dorei.RS_GCF_013009555_1.,10.11852252,9.52049568,12.31464309,2.811552251,3.071166211,0.82633583,0.143571288,6.26E-34,2.05E-32,6.91E-20,9.55E-19
ASV25_Family_Lachnospiraceae,10.94803636,11.15589182,9.348661995,-1.821674453,1.147446024,-1.517603582,0.039592092,1.99E-32,6.57E-31,8.90E-32,5.85E-30
ASV816_Family_Sphaerochaetaceae,-2.023696858,-2.764425205,6.464562252,9.186467558,3.875187473,2.245586845,0.026594696,2.35E-31,6.62E-30,8.89E-33,6.85E-31
ASV309_Order_Enterobacterales,-0.968535067,-1.875589988,6.202807191,8.2885156,4.449520517,1.704318815,0.059600007,2.78E-29,7.10E-28,4.07E-29,1.46E-27
ASV83_Family_Ruminococcaceae,9.059799877,9.284686558,7.102380324,-2.17850534,1.459945431,-1.424566763,0.053789249,3.16E-29,8.75E-28,4.42E-30,1.98E-28
ASV178_Family_Bacteroidaceae,-1.357348743,-2.147755657,7.807012052,9.966083251,4.292395931,2.171497691,0.029194175,9.52E-27,2.03E-25,2.30E-32,1.65E-30
ASV526_RC9.sp000434935.GB_GCA_000434935_1.,-1.728194414,-2.504608097,8.483227652,10.70933482,4.572910721,2.215530117,0.031400013,1.69E-24,2.79E-23,9.23E-32,5.27E-30
ASV12_Prevotella.rara.RS_GCF_001275135_1.,1.536919198,0.270688537,9.193754332,8.369868672,6.465912336,1.100752221,0.154600002,4.19E-22,7.07E-21,1.84E-18,1.98E-17
